blood_frac_conc,brain_conc,brain_binding,plasma_protein_binding,kpuu,100nM_PgP,1uM_PgP,100nM_BCRP,1uM_PgP_qsar,100_nM_Mouse_BCRP_qsar,qsar_mrt
0.903046833,0.09,0.0136,1.35,0.018625003,1.1995,0.614666667,2.063,0.675,3.6,1.6
0.21599,3.7755,0.0326,4.397765688,0.790900045,2.098,0.7,75.52,2.54,31,1.88
0.198288889,0.912,0.04855,15.30545005,1,1.4635,0.829,1.431,2.12,2.4,1.21
0.00899,1.141409678,0.0334,1.283528811,0.803664358,1.287666667,0.9385,15.076,1.79,8.9,1.28
0.53633,0.10572,0.0049,0.709213109,0.358632975,9.449666667,2.599600468,0.802,3.8,0.61,0.64
0.377274074,0.533444444,0.0138,3.222564221,0.605493855,0.862333333,0.817666667,1.459,1.06,1.2,1.86
7.5711,7.78,0.0574,1.1165,0.346475098,4.855,4.271839225,58.719,5.33,13,0.857
2.26,0.837833333,0.0201,5.527,0.116704562,17.286,7.910201486,0.643,31.9,0.64,3.52
0.094288889,0.10572,0.00205,0.16638245,1,1.132,1.078731329,14.9945,1.14,15,2.17
4.0877,0.65877,0.0226,3.704592635,0.200726516,0.87,0.961,0.458,0.954,1.8,0.662
0.903046833,0.037726667,0.0555,3.510650638,0.834526286,3.799333333,7.904,0.839,8.81,0.79,1.43
0.131408889,0.184253333,0.0295,4.954492832,0.834859555,0.544333333,0.54,0.627,0.566,0.6,0.641
0.03516,0.1065,0.0041,4.646,0.114906984,2.006,1.385939879,0.333,0.96,1.6,0.728
1.42,0.04194,0.0465,2.587474648,0.084305291,3.562,3.066,0.963333333,4.76,0.8,2.58
0.203773,0.008345182,0.0981,0.367,0.899835496,0.652,0.431868618,7.04,0.503,2.6,2.8
0.1610025,0.120184,0.1439,16.43920989,0.646264819,1.108,0.871666667,0.7555,1.68,1.3,0.823
5.1683,5.6153,0.0446,1.659693256,0.458865678,2.36,3.841,51.026,3.3,15,0.404
0.199288889,0.283586667,0.111,14.49200091,1,0.8565,0.935,0.802,1.14,0.91,1.31
0.083261111,0.10295,0.0095,0.307086795,1,1.286,1.1205,1.424,1.63,7.8,1.21
3.3246,0.545222222,0.0827,11.12181076,0.166688031,6.5205,5.294,0.843,12.4,0.58,1.76
0.136266667,0.224333333,0.0041,2.479,0.128573244,3.261,1.544,13.798,4.39,12,1.09
1.041462667,0.209609,0.0535,1.732316581,0.138884312,1.7725,4.65,19.301,6.42,19,0.652
0.2181395,0.120184,0.004,2.593496746,0.372924891,3.600333333,2.4,0.952,3.53,1.2,5.65
